date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:23:27	166622/166622	---M--	200	added ('OK')	image/jpeg	etag:%225dda7401-28ade%22	http://marvin.malyarchuk.space/img/portfolio/img-3.jpg	C:/Users/Lenovo/Downloads/demoweb/marvin.malyarchuk.space/img/portfolio/img-3.jpg	(from http://marvin.malyarchuk.space/ind-particles.html)
21:23:31	18637/18637	---M--	200	added ('OK')	image/png	etag:%225e4b13ef-48cd%22	http://marvin.malyarchuk.space/img/clients/client-1.png	C:/Users/Lenovo/Downloads/demoweb/marvin.malyarchuk.space/img/clients/client-1.png	(from http://marvin.malyarchuk.space/ind-particles.html)
21:23:32	135817/135817	---M--	200	added ('OK')	image/jpeg	etag:%225dda73fd-21289%22	http://marvin.malyarchuk.space/img/portfolio/img-6.jpg	C:/Users/Lenovo/Downloads/demoweb/marvin.malyarchuk.space/img/portfolio/img-6.jpg	(from http://marvin.malyarchuk.space/ind-particles.html)
21:23:33	15861/15861	---M--	200	added ('OK')	image/png	etag:%225e4b13ef-3df5%22	http://marvin.malyarchuk.space/img/clients/client-2.png	C:/Users/Lenovo/Downloads/demoweb/marvin.malyarchuk.space/img/clients/client-2.png	(from http://marvin.malyarchuk.space/ind-particles.html)
21:23:36	395535/395535	---M--	200	added ('OK')	image/jpeg	etag:%225e3d4028-6090f%22	http://marvin.malyarchuk.space/img/bg.jpg	C:/Users/Lenovo/Downloads/demoweb/marvin.malyarchuk.space/img/bg.jpg	(from http://marvin.malyarchuk.space/ind-particles.html)
21:23:36	15475/15475	---M--	200	added ('OK')	image/png	etag:%225e4b13ef-3c73%22	http://marvin.malyarchuk.space/img/clients/client-4.png	C:/Users/Lenovo/Downloads/demoweb/marvin.malyarchuk.space/img/clients/client-4.png	(from http://marvin.malyarchuk.space/ind-particles.html)
21:23:36	24756/24756	---M--	200	added ('OK')	image/png	etag:%225e4b13ef-60b4%22	http://marvin.malyarchuk.space/img/clients/client-3.png	C:/Users/Lenovo/Downloads/demoweb/marvin.malyarchuk.space/img/clients/client-3.png	(from http://marvin.malyarchuk.space/ind-particles.html)
21:23:39	10663/10663	---M--	200	added ('OK')	image/png	etag:%225e4b13f0-29a7%22	http://marvin.malyarchuk.space/img/clients/client-6.png	C:/Users/Lenovo/Downloads/demoweb/marvin.malyarchuk.space/img/clients/client-6.png	(from http://marvin.malyarchuk.space/ind-particles.html)
21:23:39	19173/19173	---M--	200	added ('OK')	image/png	etag:%225e4b13ef-4ae5%22	http://marvin.malyarchuk.space/img/clients/client-5.png	C:/Users/Lenovo/Downloads/demoweb/marvin.malyarchuk.space/img/clients/client-5.png	(from http://marvin.malyarchuk.space/ind-particles.html)
21:23:39	14590/14590	---M--	200	added ('OK')	image/png	etag:%225e4b13f0-38fe%22	http://marvin.malyarchuk.space/img/clients/client-7.png	C:/Users/Lenovo/Downloads/demoweb/marvin.malyarchuk.space/img/clients/client-7.png	(from http://marvin.malyarchuk.space/ind-particles.html)
21:23:41	16233/16233	---M--	200	added ('OK')	image/png	etag:%225e4b13f0-3f69%22	http://marvin.malyarchuk.space/img/clients/client-8.png	C:/Users/Lenovo/Downloads/demoweb/marvin.malyarchuk.space/img/clients/client-8.png	(from http://marvin.malyarchuk.space/ind-particles.html)
21:23:42	4429/4429	---MCZ	200	added ('OK')	text/html	etag:W/%225e6beb8e-114d%22	http://marvin.malyarchuk.space/single-work.html	C:/Users/Lenovo/Downloads/demoweb/marvin.malyarchuk.space/single-work.html	(from http://marvin.malyarchuk.space/ind-particles.html)
21:24:02	138351/138351	---M--	200	added ('OK')	image/jpeg	etag:%225dda73f9-21c6f%22	http://marvin.malyarchuk.space/img/portfolio/img-2.jpg	C:/Users/Lenovo/Downloads/demoweb/marvin.malyarchuk.space/img/portfolio/img-2.jpg	(from http://marvin.malyarchuk.space/ind-particles.html)
21:24:14	195435/195435	---M--	200	added ('OK')	image/jpeg	etag:%225dda73ff-2fb6b%22	http://marvin.malyarchuk.space/img/portfolio/img-4.jpg	C:/Users/Lenovo/Downloads/demoweb/marvin.malyarchuk.space/img/portfolio/img-4.jpg	(from http://marvin.malyarchuk.space/ind-particles.html)
21:24:26	293923/293923	---M--	200	added ('OK')	image/jpeg	etag:%225dda7402-47c23%22	http://marvin.malyarchuk.space/img/portfolio/img-1.jpg	C:/Users/Lenovo/Downloads/demoweb/marvin.malyarchuk.space/img/portfolio/img-1.jpg	(from http://marvin.malyarchuk.space/ind-particles.html)
